policy,group_id,num_people,slot_error_m,nearest_slot_error_m,heading_error_deg,slot_index,t_s,within_distance,stationary_samples_in_band,dwell_seconds_in_band,reached
bc_ft,3,4,0.245,0.133,81.1,0,290.1,True,3,0.3,False
bc_ft,4,3,0.105,0.023,102.1,2,138.1,True,35,3.5,False
bc_ft,5,5,0.431,0.351,61.0,3,157.7,True,4,0.4,False
bc_ft,3,4,0.357,0.353,87.3,0,269.8,True,1,0.1,False
bc_ft,4,3,0.35,0.132,0.7,1,133.0,True,206,20.6,True
bc_ft,5,5,0.314,0.214,55.6,3,166.1,True,7,0.7,False
bc_ft,3,4,0.385,0.374,85.6,0,277.1,True,1,0.1,False
bc_ft,4,3,0.588,0.588,34.1,1,131.6,False,0,0.0,False
bc_ft,5,5,0.266,0.11,60.2,3,183.6,True,7,0.7,False
bc_ft,3,4,0.452,0.107,83.8,0,355.7,True,3,0.3,False
bc_ft,4,3,0.436,0.385,98.0,2,137.8,True,47,4.7,False
bc_ft,5,5,0.239,0.102,40.4,3,259.8,True,274,27.4,True
bc_ft,3,4,0.145,0.08,95.8,0,284.2,True,3,0.3,False
bc_ft,4,3,0.455,0.191,10.1,1,130.3,True,30,3.0,True
bc_ft,5,5,2.329,2.329,31.2,4,27.8,False,0,0.0,False
bc_ft,3,4,0.385,0.385,88.6,0,273.5,True,2,0.2,False
bc_ft,4,3,0.4,0.07,103.9,2,154.4,True,57,5.7,False
bc_ft,5,5,0.365,0.206,55.8,3,172.3,True,4,0.4,False
bc_ft,3,4,0.476,0.361,78.3,0,248.3,True,3,0.3,False
bc_ft,4,3,0.38,0.121,109.8,2,130.3,True,32,3.2,False
bc_ft,5,5,0.212,0.184,58.6,3,144.6,True,7,0.7,False
bc_ft,3,4,2.071,2.071,67.2,1,327.9,False,0,0.0,False
bc_ft,4,3,0.481,0.476,93.4,2,179.8,True,25,2.5,False
bc_ft,5,5,0.388,0.1,39.6,3,240.9,True,5,0.5,True
bc_ft,3,4,0.113,0.005,74.7,1,293.5,True,2,0.2,False
bc_ft,4,3,0.192,0.071,0.6,1,102.5,True,130,13.0,True
bc_ft,5,5,0.493,0.182,0.2,4,159.7,True,192,19.2,True
bc_ft,3,4,0.438,0.393,82.2,0,216.8,True,3,0.3,False
bc_ft,4,3,0.427,0.108,87.2,2,99.3,True,35,3.5,False
bc_ft,5,5,0.287,0.224,57.2,3,124.0,True,5,0.5,False
mlp_ft,3,4,0.102,0.082,95.1,0,323.2,True,3,0.3,False
mlp_ft,4,3,0.492,0.066,99.7,2,139.3,True,104,10.4,False
mlp_ft,5,5,0.458,0.302,58.5,3,171.2,True,2,0.2,False
mlp_ft,3,4,0.302,0.243,82.8,0,371.5,True,2,0.2,False
mlp_ft,4,3,0.345,0.178,97.3,2,228.8,True,51,5.1,False
mlp_ft,5,5,0.498,0.237,48.7,3,250.8,True,9,0.9,False
mlp_ft,3,4,0.356,0.018,79.3,0,336.9,True,2,0.2,False
mlp_ft,4,3,0.621,0.621,89.7,2,167.6,False,0,0.0,False
mlp_ft,5,5,0.496,0.262,55.1,3,189.1,True,2,0.2,False
mlp_ft,3,4,0.849,0.849,76.1,1,363.1,False,0,0.0,False
mlp_ft,4,3,2.197,2.197,72.3,2,245.9,False,0,0.0,False
mlp_ft,5,5,0.208,0.037,80.7,3,249.6,True,2,0.2,False
mlp_ft,3,4,0.484,0.087,80.7,0,354.1,True,3,0.3,False
mlp_ft,4,3,0.472,0.087,93.1,2,201.2,True,121,12.1,False
mlp_ft,5,5,0.45,0.199,52.8,3,231.6,True,6,0.6,False
mlp_ft,3,4,0.384,0.006,81.3,0,318.3,True,3,0.3,False
mlp_ft,4,3,0.417,0.284,105.1,2,165.0,True,56,5.6,False
mlp_ft,5,5,0.341,0.198,57.1,3,195.6,True,5,0.5,False
mlp_ft,3,4,0.144,0.086,92.8,0,307.0,True,3,0.3,False
mlp_ft,4,3,0.121,0.033,100.9,2,158.5,True,54,5.4,False
mlp_ft,5,5,0.257,0.178,54.1,3,180.8,True,4,0.4,False
mlp_ft,3,4,0.415,0.032,61.3,1,268.5,True,5,0.5,False
mlp_ft,4,3,0.466,0.352,107.2,2,97.8,True,71,7.1,False
mlp_ft,5,5,0.38,0.082,66.1,3,137.5,True,6,0.6,False
mlp_ft,3,4,0.349,0.041,84.5,0,303.6,True,5,0.5,False
mlp_ft,4,3,0.427,0.239,106.7,2,148.2,True,110,11.0,False
mlp_ft,5,5,0.332,0.178,58.2,3,181.0,True,5,0.5,False
mlp_ft,3,4,0.385,0.039,78.9,0,373.1,True,3,0.3,False
mlp_ft,4,3,0.471,0.23,111.3,2,239.9,True,51,5.1,False
mlp_ft,5,5,0.354,0.207,55.1,3,253.9,True,6,0.6,False
rule,3,4,0.419,0.114,90.2,0,273.8,True,2,0.2,False
rule,4,3,0.457,0.25,0.0,0,168.2,True,473,47.3,True
rule,5,5,0.472,0.384,81.5,4,16.3,True,2,0.2,False
rule,3,4,0.251,0.164,95.6,0,240.7,True,2,0.2,False
rule,4,3,0.478,0.278,140.9,0,169.2,True,3,0.3,False
rule,5,5,0.855,0.855,95.3,4,24.8,False,0,0.0,False
rule,3,4,0.47,0.127,38.2,1,239.4,True,5,0.5,True
rule,4,3,0.5,0.295,11.0,0,137.7,True,367,36.7,True
rule,5,5,0.893,0.893,21.6,4,14.1,False,0,0.0,False
rule,3,4,0.451,0.327,2.4,0,272.7,True,621,62.1,True
rule,4,3,0.433,0.386,105.9,2,141.4,True,3,0.3,False
rule,5,5,0.39,0.386,68.9,3,148.9,True,1,0.1,False
rule,3,4,0.237,0.02,2.8,1,149.9,True,7,0.7,True
rule,4,3,0.399,0.24,80.1,2,57.6,True,2,0.2,False
rule,5,5,0.168,0.038,82.0,3,227.7,True,5,0.5,False
rule,3,4,0.495,0.147,30.6,1,199.0,True,5,0.5,True
rule,4,3,0.144,0.129,112.8,2,106.7,True,3,0.3,False
rule,5,5,0.435,0.254,58.3,3,113.8,True,4,0.4,False
rule,3,4,3.53,3.53,136.5,1,5.1,False,0,0.0,False
rule,4,3,2.417,2.417,96.1,2,23.1,False,0,0.0,False
rule,5,5,0.84,0.84,93.0,4,20.3,False,0,0.0,False
rule,3,4,0.31,0.134,95.9,0,434.1,True,2,0.2,False
rule,4,3,0.474,0.017,92.4,2,257.5,True,3,0.3,False
rule,5,5,0.482,0.05,3.8,4,121.5,True,43,4.3,True
rule,3,4,0.434,0.064,46.3,1,220.2,True,4,0.4,False
rule,4,3,0.487,0.379,19.2,0,112.1,True,227,22.7,True
rule,5,5,0.886,0.886,36.6,4,14.5,False,0,0.0,False
rule,3,4,0.477,0.107,48.3,1,220.1,True,4,0.4,False
rule,4,3,0.483,0.483,74.6,2,23.5,False,0,0.0,False
rule,5,5,0.238,0.185,0.0,3,111.1,True,443,44.3,True
