policy,group_id,num_people,slot_error_m,nearest_slot_error_m,heading_error_deg,slot_index,t_s,within_distance,stationary_samples_in_band,dwell_seconds_in_band,reached
bc_ft,3,4,0.487,0.211,73.8,0,291.5,True,3,0.3,False
bc_ft,4,3,0.496,0.282,108.1,2,122.6,True,53,5.3,False
bc_ft,5,5,0.158,0.066,70.1,4,155.7,True,3,0.3,False
bc_ft,3,4,0.447,0.367,79.7,0,290.1,True,3,0.3,False
bc_ft,4,3,0.436,0.205,53.7,1,149.1,True,85,8.5,False
bc_ft,5,5,0.413,0.261,60.8,3,175.7,True,2,0.2,False
bc_ft,3,4,0.42,0.389,83.4,0,259.0,True,2,0.2,False
bc_ft,4,3,0.389,0.267,91.6,2,118.4,True,28,2.8,False
bc_ft,5,5,0.369,0.241,62.9,3,138.8,True,3,0.3,False
bc_ft,3,4,0.272,0.254,85.6,0,258.9,True,2,0.2,False
bc_ft,4,3,0.457,0.446,56.8,2,69.7,True,1,0.1,False
bc_ft,5,5,0.261,0.101,81.9,3,168.4,True,5,0.5,False
bc_ft,3,4,0.459,0.405,81.9,0,258.6,True,2,0.2,False
bc_ft,4,3,0.496,0.162,97.1,2,139.5,True,50,5.0,False
bc_ft,5,5,0.446,0.185,53.9,3,167.3,True,7,0.7,False
bc_ft,3,4,0.404,0.393,91.9,0,238.4,True,1,0.1,False
bc_ft,4,3,0.491,0.239,108.7,2,114.0,True,53,5.3,False
bc_ft,5,5,0.449,0.08,56.9,3,143.5,True,5,0.5,False
bc_ft,3,4,0.144,0.077,84.7,0,260.6,True,2,0.2,False
bc_ft,4,3,0.443,0.224,101.2,2,136.6,True,35,3.5,False
bc_ft,5,5,0.243,0.183,58.4,3,163.1,True,8,0.8,False
bc_ft,3,4,0.368,0.36,86.2,0,281.2,True,1,0.1,False
bc_ft,4,3,0.468,0.063,93.3,2,171.4,True,24,2.4,False
bc_ft,5,5,0.251,0.246,58.9,3,192.7,True,4,0.4,False
bc_ft,3,4,0.442,0.389,81.7,0,269.6,True,3,0.3,False
bc_ft,4,3,0.417,0.111,7.7,1,113.8,True,188,18.8,True
bc_ft,5,5,0.392,0.202,55.8,3,175.7,True,4,0.4,False
bc_ft,3,4,0.38,0.375,90.9,0,274.1,True,1,0.1,False
bc_ft,4,3,0.382,0.01,51.6,2,77.5,True,46,4.6,False
bc_ft,5,5,0.281,0.279,73.2,3,142.0,True,2,0.2,False
mlp_ft,3,4,0.373,0.085,84.3,0,332.6,True,3,0.3,False
mlp_ft,4,3,0.449,0.066,88.5,2,173.2,True,50,5.0,False
mlp_ft,5,5,0.359,0.329,67.0,3,199.8,True,3,0.3,False
mlp_ft,3,4,0.461,0.029,74.1,0,263.4,True,3,0.3,False
mlp_ft,4,3,0.456,0.011,100.7,2,134.5,True,48,4.8,False
mlp_ft,5,5,0.254,0.238,57.8,3,160.0,True,6,0.6,False
mlp_ft,3,4,0.46,0.064,80.8,0,295.0,True,6,0.6,False
mlp_ft,4,3,0.443,0.437,67.1,2,90.5,True,1,0.1,False
mlp_ft,5,5,0.407,0.166,37.9,4,168.7,True,8,0.8,True
mlp_ft,3,4,0.403,0.076,84.3,0,296.6,True,2,0.2,False
mlp_ft,4,3,0.494,0.151,76.2,2,140.2,True,57,5.7,False
mlp_ft,5,5,0.388,0.384,68.9,3,168.4,True,1,0.1,False
mlp_ft,3,4,0.075,0.075,96.6,0,285.4,True,2,0.2,False
